observation,internet_email,handheld,often_internet,social_media,internet_subscriber,type_internet,own_cell_phone,smartphone,connection_problems,twitter,instagram,facebook,snapchat,youtube,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,gender,household_people,age,employment_status,political_party
1342,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,5 - Few times a month or less,0.00,Man,5.00,,Full-time,Independent
1343,Yes,Yes,3 - About once a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,No,Does not use,Does not use,2 - Several times a day,Does not use,Does not use,50.00,Woman,1.00,69.00,Retired,Democrat
1344,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,2 - Several times a day,2.00,Man,1.00,25.00,Full-time,Independent
1345,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,Yes,No,Yes,1 - Almost constantly,3 - About once a day,1 - Almost constantly,Does not use,1 - Almost constantly,4.00,Man,4.00,36.00,Other,Independent
1346,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,No,No,Yes,Does not use,1 - Almost constantly,Does not use,Does not use,1 - Almost constantly,24.00,Woman,1.00,31.00,Full-time,Democrat
1347,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,4 - Several times a week,1 - Almost constantly,Does not use,2 - Several times a day,10.00,Man,2.00,39.00,Other,Republican
1348,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,Yes,No,Yes,5 - Few times a month or less,5 - Few times a month or less,5 - Few times a month or less,Does not use,3 - About once a day,50.00,Woman,4.00,51.00,Not employed,Independent
1349,Yes,Yes,2 - Several times a day,Yes,No,No internet subscription,Yes,Yes,4 - Never,Yes,Yes,Yes,Yes,Yes,2 - Several times a day,2 - Several times a day,2 - Several times a day,1 - Almost constantly,2 - Several times a day,13.00,Man,2.00,25.00,Other,Independent
1350,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,1 - Almost constantly,2 - Several times a day,5 - Few times a month or less,3 - About once a day,0.00,Man,2.00,34.00,Full-time,Democrat
1351,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,5 - Few times a month or less,25.00,Woman,2.00,62.00,Not employed,Republican
1352,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,2 - Several times a day,2 - Several times a day,2 - Several times a day,2 - Several times a day,4.00,Man,2.00,28.00,Full-time,Democrat
1353,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,No,Yes,Yes,3 - About once a day,1 - Almost constantly,Does not use,2 - Several times a day,3 - About once a day,50.00,Man,3.00,30.00,Full-time,Other party
1354,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,2 - Several times a day,20.00,Man,2.00,77.00,Retired,Republican
1355,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,5.00,Man,3.00,59.00,Full-time,
